Periode;Wilayah;Kecamatan;Nama Puskesmas;Baru;Lama;Total Kunjungan
Februari;Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;405;2929;3334
Februari;Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;311;1597;1908
Februari;Surabaya Barat;Tandes;Puskesmas Balongsari;415;2689;3104
Februari;Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;230;1990;2220
Februari;Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;569;3844;4413
Februari;Surabaya Barat;Pakal;Puskesmas Benowo;541;4457;4998
Februari;Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;457;3130;3587
Februari;Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;455;2811;3266
Februari;Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;832;4120;4952
Februari;Surabaya Utara;Krembangan;Puskesmas Dupak;373;3392;3765
Februari;Surabaya Timur;Tambaksari;Puskesmas Gading;649;4371;5020
Februari;Surabaya Selatan;Gayungan;Puskesmas Gayungan;572;3682;4254
Februari;Surabaya Pusat;Bubutan;Puskesmas Gundih;138;3137;3275
Februari;Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;701;2917;3618
Februari;Surabaya Selatan;Wonokromo;Puskesmas Jagir;994;6072;7066
Februari;Surabaya Selatan;Wonocolo;Puskesmas Jemursari;336;2414;2750
Februari;Surabaya Barat;Lakarsantri;Puskesmas Jeruk;409;2457;2866
Februari;Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;411;2510;2921
Februari;Surabaya Timur;Rungkut;Puskesmas Kalirungkut;579;4437;5016
Februari;Surabaya Selatan;Jambangan;Puskesmas Kebonsari;657;4595;5252
Februari;Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;507;4019;4526
Februari;Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;737;4961;5698
Februari;Surabaya Utara;Bulak;Puskesmas Kenjeran;307;2671;2978
Februari;Surabaya Timur;Sukolilo;Puskesmas Keputih;389;2024;2413
Februari;Surabaya Pusat;Genteng;Puskesmas Ketabang;354;2423;2777
Februari;Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;345;2293;2638
Februari;Surabaya Utara;Krembangan;Puskesmas Krembangan Selatan;415;3256;3671
Februari;Surabaya Barat;Lakarsantri;Puskesmas Lidah Kulon;384;2634;3018
Februari;Surabaya Barat;Sambikerep;Puskesmas Lontar;459;2329;2788
Februari;Surabaya Barat;Sambikerep;Puskesmas Made;242;2108;2350
Februari;Surabaya Barat;Tandes;Puskesmas Manukan Kulon;842;5137;5979
Februari;Surabaya Timur;Rungkut;Puskesmas Medokan Ayu;1071;4836;5907
Februari;Surabaya Timur;Sukolilo;Puskesmas Menur;507;3262;3769
Februari;Surabaya Timur;Gubeng;Puskesmas Mojo;592;4125;4717
Februari;Surabaya Utara;Krembangan;Puskesmas Moro Krembangan ;372;2941;3313
Februari;Surabaya Timur;Mulyorejo;Puskesmas Mulyorejo;612;2994;3606
Februari;Surabaya Selatan;Wonokromo;Puskesmas Ngagel Rejo;398;3382;3780
Februari;Surabaya Timur;Tambaksari;Puskesmas Pacarkeling;393;3236;3629
Februari;Surabaya Selatan;Sawahan;Puskesmas Pakis;348;3282;3630
Februari;Surabaya Utara;Semampir;Puskesmas Pegirian;398;3237;3635
Februari;Surabaya Pusat;Genteng;Puskesmas Peneleh;309;2765;3074
Februari;Surabaya Utara;Pabean Cantian;Puskesmas Perak Timur;691;4906;5597
Februari;Surabaya Timur;Gubeng;Puskesmas Pucangsewu;481;3994;4475
Februari;Surabaya Selatan;Sawahan;Puskesmas Putat Jaya;405;3339;3744
Februari;Surabaya Timur;Tambaksari;Puskesmas Rangkah;632;4134;4766
Februari;Surabaya Selatan;Sawahan;Puskesmas Sawahan;435;3945;4380
Februari;Surabaya Utara;Semampir;Puskesmas Sawah Pulo;427;2935;3362
Februari;Surabaya Barat;Benowo;Puskesmas Sememi;637;4487;5124
Februari;Surabaya Selatan;Wonocolo;Puskesmas Sidosermo;437;2661;3098
Februari;Surabaya Utara;Semampir;Puskesmas Sidotopo;537;3726;4263
Februari;Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;896;5804;6700
Februari;Surabaya Pusat;Simokerto;Puskesmas Simolawang;292;3644;3936
Februari;Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;689;5131;5820
Februari;Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;399;3035;3434
Februari;Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;336;3526;3862
Februari;Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;328;2208;2536
Februari;Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;662;4635;5297
Februari;Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;416;1893;2309
Februari;Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;518;3320;3838
Februari;Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;768;4074;4842
Februari;Surabaya Selatan;Wiyung;Puskesmas Wiyung;567;4219;4786
Februari;Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;367;2856;3223
Februari;Surabaya Utara;Semampir;Puskesmas Wonokusumo;546;3838;4384
;;;;;;249257
